"","teams","country","distance","detected_club","stadium","breitengrad","laengengrad"
"1","Arda Kardzhali","Bulgaria",9,"Tractor Sazi","Yadegar-e Emam Stadium","38.026667","46.295833"
"2","Aris Limassol","Cyprus",2,"Aris Limassol ","Tsirio Stadium","34.700914","33.022975"
"3","Atlètic Club d'Escaldes","Andorra",2,"Atlètic Club d'Escaldes","Estadi Comunal d'Aixovall","42.476389","1.487667"
"4","Chikhura Sachkhere","Georgia",12,"Traktor Tashkent","Traktor Tashkent Stadium","41.36111","69.39472"
"5","Dinamo Kyiv","Ukraine",3," Dynamo Kyiv","Olimpiyskiy National Sports Complex","50.433333333","30.521666666"
"6","Dundee United","Scotland",2,"Dundee United ","Tannadice Park","56.474703","-2.968961"
"7","FC Ballkani","Kosovo",5," Balkan","Balkanabat Stadium","39.511944","54.365"
"8","FC Gomel","Belarus",3," Gomel","Central Stadium","52.436527777","31.012361111"
"9","FC Nantes","France",3," Nantes","Stade de la Beaujoire","47.255556","-1.525278"
"10","FC Twente Enschede","Netherlands",11,"Clarence United","Wentworth Park, Tasmania","-42.8789","147.394"
"11","FCB Magpies","Gibraltar",4," Magpies","Victoria Stadium","36.149356","-5.350342"
"12","Fiorentina","Italy",4,"ACF Fiorentina","Stadio Artemio Franchi (Florence)","43.780822","11.282258"
"13","FK Kyzylzhar","Kazakhstan",3," Kyzylzhar","Avangard Stadium","54.874085","69.152074"
"14","Gil Vicente","Portugal",2,"Gil Vicente ","Estádio Cidade de Barcelos","41.533888888","-8.611111111"
"15","Hamrun Spartans","Malta",3,"Hamrun Spartans ","Victor Tedesco Stadium","35.8873","14.4925"
"16","Hearts FC","Scotland",5,"Heartland ","Dan Anyiam Stadium","5.483889","7.043889"
"17","Honka Espoo","Finland",5,"Ankaraspor","Osmanli Stadyumu","40.0115","32.5024"
"18","Kaysar Kyzylorda","Kazakhstan",9,"Kayserispor","Kadir Has Stadium","38.736944444","35.423055555"
"19","Kisvárda FC","Hungary",7,"Vitória SC","Afonso Henriques Stadium","41.445833","-8.301111"
"20","Maccabi Netanya","Israel",2,"Maccabi Netanya ","Netanya Stadium","32.294397","34.864433"
"21","NK Koper","Slovenia",3," Koper","Bonifika Stadium","45.542356","13.730453"
"22","Petrocub Hîncesti","Moldova",9," Petrolul Ploie<U+0219>ti","Stadionul Ilie Oana","44.940278","26.033333"
"23","Raków Czestochowa","Poland",12,"Racing de Córdoba","Estadio Miguel Sancho","-31.3895","-64.14326"
"24","SC Dnipro-1","Ukraine",1,"SC Dnipro-1","Dnipro Arena","48.460333","35.032472"
"25","Silkeborg IF","Denmark",1,"Silkeborg IF","Silkeborg Stadion","56.15777778","9.55305556"
"26","Tuzla City","Bosnia-Herzegovina",4,"FK Tuzla City","Tušanj City Stadium","44.54172","18.661528"
"27","Union Saint-Gilloise","Belgium",8,"Royale Union Saint-Gilloise","Stade Joseph Marien - Joseph Marienstadion","50.8178","4.32917"
"28","Viborg FF","Denmark",1,"Viborg FF","Evergi Viborg Arena","56.455897","9.402064"
"29","Zaria Balti","Moldova",7,"Caracas","Jalisco Stadium","20.705","-103.328139"
